Saw VI , http://www.imdb.com/title/tt1233227/?ref_=fn_tt_tt_1, Canada, $11,000,000, $27,669,413(USA)(20November2009), false
Wild Target , http://www.imdb.com/title/tt1235189/?ref_=fn_tt_tt_1, UK, $8,000,000, $117,190(USA)(10December2010), false
Ondine , http://www.imdb.com/title/tt1235796/?ref_=fn_tt_tt_1, Ireland, $12,000,000, $548,934(USA)(24September2010), false
We Need to Talk About Kevin , http://www.imdb.com/title/tt1242460/?ref_=fn_tt_tt_1, UK, $7,000,000, $1,738,692(USA)(18May2012), false
[Rec] 2 , http://www.imdb.com/title/tt1245112/?ref_=fn_tt_tt_1, Spain, $5,600,000, $27,024(USA)(6August2010), false
Kick-Ass , http://www.imdb.com/title/tt1250777/?ref_=fn_tt_tt_1, UK, $30,000,000, $48,043,505(USA)(25June2010), false
Incendies , http://www.imdb.com/title/tt1255953/?ref_=fn_tt_tt_1, Canada, $6,800,000, $6,857,096(USA)(23September2011), false
The Devil's Double , http://www.imdb.com/title/tt1270262/?ref_=fn_tt_tt_1, Belgium, €15,000,000, $1,357,042(USA)(23September2011), true
Dead Snow , http://www.imdb.com/title/tt1278340/?ref_=fn_tt_tt_1, Norway, $800,000, $41,709(USA)(24July2009), false
Harry Brown , http://www.imdb.com/title/tt1289406/?ref_=fn_tt_tt_1, UK, $7,300,000, $1,818,681(USA)(6August2010), false
Defendor , http://www.imdb.com/title/tt1303828/?ref_=fn_tt_tt_1, Canada, $3,500,000, $37,606(USA)(26February2010), false
